PROCODE5,NAME,POSTCODE,Latitude,Longitude
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,ME19 4AX,51.279244,0.398294
RY1,LIVERPOOL COMMUNITY HEALTH NHS TRUST,L13 1FB,53.40412,-2.929955
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST,WN3 6PR,53.528915,-2.658337
RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,NR1 3FR,52.621989,1.300061
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,AL7 1BW,51.802225,-0.194146
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,NG34 8GG,53.008852,-0.392521
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,LS6 1PF,53.814971,-1.568473
RY7,WIRRAL COMMUNITY NHS TRUST,CH41 5AL,53.390806,-3.016068
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,DE45 1AD,53.218791,-1.67234
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,TW11 8HU,51.427449,-0.326599
RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,DY5 1LX,52.486146,-2.119688
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NR6 5NA,52.657457,1.249446
RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,BN7 2XW,50.873637,0.014303
RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,RG40 2NN,51.406604,-0.837096
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,EX2 7HY,50.720169,-3.464744
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,CV6 6NY,52.456965,-1.486211
RYH,NHS DIRECT NHS TRUST,E1 8EU,51.512913,-0.070196
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,W2 1NY,51.516969,-0.173569
RYK,DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,DY2 8PS,52.508328,-2.084448
RYQ,SOUTH LONDON HEALTHCARE NHS TRUST,DA14 6LT,51.419041,0.101661
RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,BN11 2DH,50.816691,-0.363429
RYT,PUBLIC HEALTH WALES NHS TRUST,CF11 9LJ,51.482965,-3.190118
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,PE27 5BB,52.321978,-0.072222
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST,B7 4BN,52.487324,-1.885825
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,SW1E 6QP,51.497552,-0.137377
RYY,KENT COMMUNITY HEALTH NHS TRUST,TN25 4AZ,51.17193,0.870643
R1K,LONDON NORTH WEST HOSPITALS NHS TRUST,,51.575083,-0.319389
RJJ,SOUTH LONDON HOSPITALS AMALGAM,,51.468539,-0.092208
